DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2017,71,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2018,73,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2019,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2020,75,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2021,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EE,2022,74,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2012,36,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2013,40,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2014,43,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2015,46,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2016,44,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2017,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2018,45,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2019,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2020,50,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2021,49,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EL,2022,52,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2012,65,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2013,59,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2014,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2015,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2016,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2017,57,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2018,58,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2019,62,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2020,62,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2021,61,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,ES,2022,60,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2012,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2013,63,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2014,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2015,65,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2016,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2017,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2018,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2019,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2020,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2021,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,EU27_2020,2022,64,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2012,90,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2013,89,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2014,89,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2015,90,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2016,89,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2017,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2018,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2019,86,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2020,85,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2021,88,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FI,2022,87,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2012,71,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2013,71,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2014,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2015,70,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2016,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2017,70,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2018,72,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2019,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2020,69,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2021,71,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,FR,2022,72,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2012,46,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2013,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2014,48,
ESTAT:SDG_16_50(1.0),14/02/23 23:00:00,A,NR,HR,2015,51,
